,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.752374,-2.6033742,-0.26406476,-0.20039757,-0.3247941,-0.3062649,-0.66117734,-2.410113,0.33480063,-1.2138398,0.1363406,-0.10679079,-0.9018813,-0.83475006,-2.9042141,4.5478868e-05,-0.63987964,-0.56441504,-3.8212805,-0.09745196,-0.36573732,-1.3867904,0.5142313,0.13920145,-4.4932337,1.0824032,0.51478297,-1.2692554,-0.7931818,0.14574094,-1.4148015,0.1313133
1,-0.40639323,-3.3839402,-2.4288256,-0.0050816974,-1.0766573,-1.7753682,-0.058667902,0.03216518,1.8284307,-1.5259175,0.36272964,0.08643608,-0.9834179,0.019094367,0.0004558136,-0.01086563,-0.070434414,-0.20660074,0.04476703,-2.3971941,-2.0091546,-0.06378632,-0.16530532,-0.05230975,-0.041141648,-0.6657197,0.5558661,0.05243232,-0.86214465,-1.0643089,0.4932014,-0.3542327
2,-2.3304327,1.0390751,-1.7728636,-0.32685503,-1.0224022,-1.9893881,-0.017420366,-0.14123774,2.0788984,-0.85455114,0.9711177,-0.0048309355,-0.31115684,-0.06260024,0.066849686,0.11712523,0.0064315023,-0.027015401,-0.7611401,-1.8737394,-1.7644799,0.008162404,-0.2083787,-0.068141066,-0.024975244,-0.11109597,0.31232482,0.41026315,-1.635959,-0.94448173,-1.2549353,-0.1995618
3,1.2986733,0.91206473,-0.59483415,-1.2260898,0.0666653,-0.7203312,-0.9252423,0.13058122,0.6803713,0.5747977,0.52294344,-0.2134323,-1.2145733,-0.17527671,-0.10840983,-3.0792584,0.023746137,-0.24784657,-0.0778517,-0.67716295,-0.1922715,-0.2670419,-4.819864,-0.21105795,-2.5320408,-0.30656594,0.16749392,-0.20203671,-0.89905065,-1.3476483,-1.2557675,-5.4530106
4,-0.88471687,-2.1275399,-0.16671535,0.15650238,-0.05217774,-0.22971535,-0.6329095,-3.1555152,0.19789648,1.1538492,0.57747126,-0.26877332,-0.28577158,-0.31954122,-2.9095583,-0.6869478,-0.98918945,-1.0802133,-3.349668,-0.2034683,-0.30873364,-1.3658757,0.05559356,-0.20123765,-3.412057,0.0815166,0.5612407,-0.62627405,-0.95573133,-0.33889303,0.8847466,0.11874309
5,-0.52253205,0.0373208,-0.11180905,-1.0582033,-0.016880818,-0.05066347,-0.7240019,-0.1938218,0.43267196,0.8621475,0.24188818,-1.7442628,-0.06537321,-1.0050733,-0.7807209,-1.1018143,-1.7523873,0.04750322,-0.010336202,0.085751384,-0.17966056,-1.0044372,-0.33400324,-1.7288703,0.3025964,-2.1665635,0.3769531,-1.1276904,-1.0800679,-1.0604044,-1.5441955,0.21287988
6,0.67316914,-0.44377702,-0.17877823,-0.0727204,-0.26986393,-0.09404566,-0.4772898,-1.8767092,0.32416978,0.76672727,0.5911501,-1.438757,-0.18644081,-0.43956453,-0.6554482,-0.54258436,-1.1881735,-1.7666827,-1.3325205,-0.18126439,-0.4176761,-0.77498007,-1.1320469,-1.6116241,-0.81514144,-2.3393564,0.3352206,0.7349081,-1.4651068,-0.87822694,-1.1057936,-0.87945163
7,-0.35573617,-0.40720293,-1.846681,0.048783816,-2.0057843,-1.6721368,0.034442075,0.19435792,0.56565243,-1.3946952,0.40460244,-0.070467986,-1.2076623,-0.23085046,-0.013871052,0.07622295,0.07814427,-0.09733735,-0.5636293,-1.8574382,-1.3234185,-0.10748369,0.5094012,-0.13484141,-0.47026533,0.25692347,0.19504733,-0.4164632,-1.7025936,-1.7330273,-1.9566857,0.20916633
8,1.7826062,-1.8279561,-0.5918653,-0.5295553,-0.13769732,-0.34398714,-1.2852983,-0.0655663,0.86673295,-0.8768371,1.1588296,-0.041602854,-0.9013956,-0.23360994,0.006044834,-3.0307667,-0.110217676,-0.3140523,0.78604496,-0.9193403,-0.334365,0.05927934,-4.820115,0.035557278,-3.145272,-0.6839452,0.58364314,-0.8792987,-1.674521,-0.5564234,-1.3460368,-4.6868954
9,-3.26903,-2.2514296,-0.40420675,-0.41328108,-0.29333687,-0.36324185,-0.206584,0.07418695,1.9301172,-0.2683879,1.1575238,-0.096534416,-0.14070295,-0.49153355,0.02205474,-0.415402,-0.17503259,-0.028379958,-1.0246575,-0.24465808,-0.467438,0.007557252,-0.19620223,-0.16996804,0.11759401,-2.5965693,1.0017434,-2.3024056,-1.2285382,-2.951687,-2.0898294,-0.68514144
10,-1.3585724,-1.3487214,-0.6823267,0.10112012,-0.05236636,-0.4116938,-0.23268296,0.18238808,0.74733406,-2.7077317,0.29352772,-0.3569993,-1.7137921,-0.12541205,-0.003929774,-0.024980713,0.16814272,-0.19706862,-1.0173912,-0.74846774,-0.67240095,-0.011248071,-0.6358713,-0.30367735,0.0754581,-2.2858474,0.30364138,-0.34891146,-1.5815288,-0.5951479,0.87944025,-0.6623233
11,-1.5615904,-1.9312338,-0.008720282,-0.72037405,-0.13033776,-0.022190072,-0.9230968,-2.398806,0.66252786,1.1254481,0.19974579,-0.57806325,-0.36126414,-0.3958585,-2.195382,-1.0906651,-0.75373924,-1.3190312,-1.3909875,0.11840627,0.009525059,-1.4105765,-0.8398802,0.06287236,-1.8930917,0.010830068,0.28068724,0.41014263,-1.1938088,0.4163602,0.45588747,-0.4970361
12,-0.17562294,-2.2859151,-0.33710876,0.0427644,-0.05176346,-0.36855412,-1.0295314,-4.06565,0.20444877,2.123595,0.32194027,-0.30905408,-0.30028367,-0.54220825,-2.354678,-0.62144196,-0.83671266,-2.0296035,-1.6736068,-0.059723455,-0.19002822,-1.391119,-0.41276926,-0.11907607,-3.1779976,-0.34268048,0.39050004,-0.24847092,-1.0615876,-0.58128417,0.6270287,-0.2656181
13,-3.2972639,-0.273407,-2.134252,-0.0010474053,-1.0202543,-2.177877,-0.044080183,-0.18780746,1.9075528,0.1652731,0.5043376,0.040377837,-0.97869587,0.008072655,-0.19364077,-0.039385457,-0.050074168,0.039130144,0.61899817,-2.2091215,-2.24112,-0.092673,0.25147107,-0.013984637,-0.33058155,0.18162528,0.6550479,0.75732183,-2.019991,-0.32966527,-0.9140106,-0.034431256
14,0.8772499,-1.9092466,-0.23463766,0.2429516,0.08690993,-0.37175682,-0.48778892,-1.3825014,0.04933758,-0.26479015,0.28723103,-0.1509529,-0.5641643,-0.49444118,-2.428538,0.32959867,-0.7053054,-0.47285423,-3.2668188,-0.329805,-0.3685236,-1.4183774,0.6426744,-0.061714813,-4.2980914,-0.9879848,0.2600242,-1.7869655,-2.0507026,-0.63759303,-0.7113934,0.5206553
15,-2.0046043,-1.1573763,-1.6376586,-0.08679462,-0.6060027,-1.9936761,-0.13596664,-0.005081442,1.6570289,-1.131308,0.51599616,0.06276333,-0.35443845,-0.18423577,-0.005231744,-0.22588395,0.050383005,-0.14413792,-0.2611269,-1.5491927,-1.587984,0.035077337,-0.06612109,0.05427111,-0.011823862,-0.8013314,0.42392167,-0.39057258,-1.7801465,-0.5680188,-0.7470768,-0.29800758
16,-1.4115424,-2.3717883,-0.3693174,0.09444772,-0.21437494,-0.37526387,-0.035737835,-0.19400789,0.27226746,-1.605841,0.30758625,-0.0015712385,-0.5563874,-0.31844077,-0.17538553,-0.35402986,0.108154595,0.09729529,-1.4397957,-0.28999692,0.005089307,0.02512139,-0.1613024,0.18150336,-0.93288946,-1.2394795,0.07674026,0.040274706,-1.5764648,-1.1626889,-1.5751098,-0.8449507
