,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.8303753,0.41040325,-0.3228607,-2.913511,-0.70355344,0.6746372,-1.0654794,-0.8448743,-0.5052036,-0.30461675,-2.3498116,-3.6327584,-0.021681027,-3.0672312,0.04935831,-0.16485263,1.8205806,0.28024173,0.343459,-1.1965716,-0.34391737,-0.57825536,-0.010417927,-0.38185576,-1.0081085,-0.4860624,-7.5061035,-0.24211772,0.16707836,1.3702004,-2.9484282,0.44875345
1,-1.3559059,0.26027134,0.15769514,-3.9412057,-0.033662856,2.4149768,0.111820795,-0.022894777,0.19111197,-1.9735587,-0.5263171,-1.2179332,-2.4599154,0.11509523,0.590478,0.078601435,0.16973573,1.2164633,-0.52803844,-0.35097885,-0.0015048566,-4.2778864,-0.84023935,-2.2234106,0.043460444,0.17125681,1.4254789,-2.1044598,0.055583317,4.197232,0.15896949,0.48274422
2,-2.194386,1.5993495,-0.5076692,-1.0648255,-0.7284577,3.6002605,-2.082107,0.027256297,0.71622175,-2.5723352,-0.051989157,0.109974615,0.7306304,0.14508061,-0.59552765,-0.301894,-2.0351045,0.93093926,0.035989918,0.15165153,-0.059369612,-1.1800601,-0.7612594,-1.9366204,0.12724125,0.60623014,-0.9368241,-1.9878978,-0.25119576,1.1126949,0.2562886,0.15931326
3,-3.12752,1.2992116,-3.8195148,1.0265788,-0.28452542,0.7911742,-1.0905014,-0.21457452,0.46136755,-0.12004212,-0.16948694,-2.635445,-2.3307211,-0.6629722,-2.0014577,-0.5841045,-1.649684,0.11509893,0.19257033,-0.7972615,-0.19934522,-3.5298173,-0.29378366,-0.48421806,-0.18398221,-8.473037,-0.35767967,-0.36261916,0.23564355,-1.5985132,-0.31720245,-3.8210893
4,-0.2254535,0.83776444,0.538459,0.40318218,-0.020183146,0.5079449,-1.9618666,-0.71060145,-0.121339254,-0.26315206,-6.101757,-5.7004104,0.5074653,-1.9307017,1.027834,0.044298608,-0.038139865,1.118167,0.08396184,-0.13209186,-0.54310876,-0.29808542,-0.95402384,-0.26474848,-1.5857497,0.044766236,-1.8702518,-0.3137979,-0.46610317,1.2485616,-4.4729934,0.25769266
5,-0.6443913,0.7486084,-0.4768472,-0.74229914,-1.0867423,0.49047756,0.21344894,-1.3876162,-3.1685991,0.042579826,-0.2812802,-0.4784534,-3.5096705,-1.8022956,-0.8422965,-0.22421834,-3.0728323,0.4780345,0.3883491,-0.59935975,-1.9973549,0.7112857,0.026384925,0.042216245,-1.5803477,0.19666359,0.88738817,0.0032283568,-1.7844224,-0.041663162,-1.0499374,-2.5523484
6,0.97441095,0.6942835,-3.518799,-1.9251287,-0.44638655,-0.08648041,-0.86170834,-1.1424601,-3.303792,-0.12473162,-2.8951275,0.9515715,-1.0226629,-0.20500745,-2.6033156,-4.475484,-2.9732969,0.80604404,-1.6867509,0.25450003,-0.5331876,-0.6400574,-0.44884324,-0.13720845,-1.690127,-0.9013745,-3.5594268,-0.16024138,-0.89075667,-0.6857091,-0.62223244,1.3485156
7,-5.3473296,0.36821827,-0.21408728,-2.8976202,-0.027242105,1.1449499,-1.1526864,0.064140484,-2.2096524,-2.1103604,-0.3085186,-0.014361592,-1.0537863,-0.27884713,0.75026286,-0.18606064,-1.7274675,0.3049921,-0.16744973,-0.0465687,-0.04304639,-0.066553086,-1.6674274,-1.8234612,-0.04563492,0.400537,-1.4231982,-2.434659,-0.11872281,-0.8872134,0.55739456,0.3123721
8,-2.0656834,1.4037136,-4.637482,-1.1375581,0.2722312,1.3005942,0.0661761,0.03866224,-2.8587534,-0.296767,-0.35031688,-5.112598,-0.0967316,-0.1697075,-4.602052,0.25437483,0.9179916,1.4260699,-2.755469,-0.8144428,-0.014771095,-2.2612236,-0.95073456,-0.27550274,-0.052770637,-4.8775764,0.24685648,-0.35944238,-0.2746563,-0.72492635,0.07305368,-2.4385939
9,0.47603595,1.8392016,-0.37356907,-0.9502931,-0.9467924,4.0575585,-1.046037,0.034892876,-2.8096476,-0.0012241565,-0.18701693,-0.10964676,-3.3063974,-0.42006984,0.6342185,-0.19038592,-2.5616024,2.0991094,-0.26854837,-0.90848887,-0.11020579,-0.5283101,-2.1752813,-0.09813631,-0.121071786,-0.46706262,-0.09297711,-0.0011119667,-0.10529521,2.738496,0.003825339,-1.1643487
